,FECHA_ALTA,llamadas,covid,stringency_index,lag1,dia_Friday,dia_Monday,dia_Saturday,dia_Sunday,dia_Thursday,dia_Tuesday,dia_Wednesday,mes_April,mes_August,mes_December,mes_February,mes_January,mes_July,mes_June,mes_March,mes_May,mes_November,mes_October,mes_September
1,2016-11-05,1,0,0.0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,2016-11-06,6,0,0.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,2016-11-07,13,0,0.0,6.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,2016-11-08,11,0,0.0,13.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5,2016-11-09,11,0,0.0,11.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
6,2016-11-10,13,0,0.0,11.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,2016-11-11,11,0,0.0,13.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,2016-11-12,6,0,0.0,11.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,2016-11-13,7,0,0.0,6.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,2016-11-14,15,0,0.0,7.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,2016-11-15,19,0,0.0,15.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
12,2016-11-16,12,0,0.0,19.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
13,2016-11-17,6,0,0.0,12.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,2016-11-18,13,0,0.0,6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,2016-11-19,10,0,0.0,13.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,2016-11-20,3,0,0.0,10.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17,2016-11-21,2,0,0.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,2016-11-22,10,0,0.0,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
19,2016-11-23,11,0,0.0,10.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
20,2016-11-24,10,0,0.0,11.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21,2016-11-25,18,0,0.0,10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22,2016-11-26,8,0,0.0,18.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23,2016-11-27,5,0,0.0,8.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24,2016-11-28,7,0,0.0,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25,2016-11-29,8,0,0.0,7.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
26,2016-11-30,7,0,0.0,8.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
27,2016-12-01,14,0,0.0,7.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
28,2016-12-02,14,0,0.0,14.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
29,2016-12-03,5,0,0.0,14.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
30,2016-12-04,4,0,0.0,5.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
31,2016-12-05,17,0,0.0,4.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
32,2016-12-06,11,0,0.0,17.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
33,2016-12-07,16,0,0.0,11.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
34,2016-12-08,8,0,0.0,16.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
35,2016-12-09,9,0,0.0,8.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
36,2016-12-10,5,0,0.0,9.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
37,2016-12-11,5,0,0.0,5.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
38,2016-12-12,16,0,0.0,5.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
39,2016-12-13,12,0,0.0,16.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
40,2016-12-14,15,0,0.0,12.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
41,2016-12-15,18,0,0.0,15.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
42,2016-12-16,14,0,0.0,18.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
43,2016-12-18,5,0,0.0,14.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
44,2016-12-19,12,0,0.0,5.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
