,FECHA_ALTA,llamadas,covid,stringency_index,lag1,dia_Friday,dia_Monday,dia_Saturday,dia_Sunday,dia_Thursday,dia_Tuesday,dia_Wednesday,mes_April,mes_August,mes_December,mes_February,mes_January,mes_July,mes_June,mes_March,mes_May,mes_November,mes_October,mes_September,predict_restriccion
1,2016-11-05,1,0,0.0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.8707969909019773
2,2016-11-06,6,0,0.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.7559121380522895
3,2016-11-07,13,0,0.0,6.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.179157692383173
4,2016-11-08,11,0,0.0,13.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,13.191526752515639
5,2016-11-09,11,0,0.0,11.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,11.990291643691226
6,2016-11-10,13,0,0.0,11.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.457649373375725
7,2016-11-11,11,0,0.0,13.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.932060855809869
8,2016-11-12,6,0,0.0,11.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.282125396738152
9,2016-11-13,7,0,0.0,6.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.598685809582435
10,2016-11-14,15,0,0.0,7.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.747712426689203
11,2016-11-15,19,0,0.0,15.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,14.328636221127697
12,2016-11-16,12,0,0.0,19.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,16.538729518139455
13,2016-11-17,6,0,0.0,12.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.026204107681753
14,2016-11-18,13,0,0.0,6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.952177715667666
15,2016-11-19,10,0,0.0,13.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.41923486535021
16,2016-11-20,3,0,0.0,10.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.872904746806551
17,2016-11-21,2,0,0.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.473493489465087
18,2016-11-22,10,0,0.0,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6.93742467514932
19,2016-11-23,11,0,0.0,10.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,11.421736909385197
20,2016-11-24,10,0,0.0,11.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.457649373375725
